capacity_bytes,date,failure,model,serial_number,smart_1_raw,smart_12_raw,smart_183_raw,smart_184_raw,smart_187_raw,smart_188_raw,smart_189_raw,smart_190_raw,smart_192_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw,smart_3_normalized,smart_4_raw,smart_5_raw,smart_7_raw,smart_9_raw
4000787030016,2017-04-30,0,ST4000DM000,S301177A,32617224.0,5.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,18297.0,17.0,0.0,0.0,0.0,17712.0,46378126352.0,44337112426.0,95.0,5.0,0.0,780865045.0,17832.0
4000787030016,2017-06-23,0,ST4000DM000,Z305DVP1,198280872.0,2.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,52249.0,30.0,0.0,0.0,0.0,11297.0,28626217544.0,27933457247.0,98.0,2.0,0.0,442227560.0,11645.0
4000787030016,2017-06-23,1,ST4000DM000,S301NY9Z,241344744.0,8.0,0.0,0.0,1.0,0.0,0.0,23.0,0.0,14727.0,23.0,16.0,16.0,0.0,14161.0,36879052736.0,39631957796.0,92.0,9.0,8.0,631693393.0,14312.0
4000787030016,2017-05-17,0,ST4000DM000,Z3014LL8,159482024.0,18.0,0.0,0.0,0.0,0.0,12.0,28.0,6.0,43365.0,28.0,0.0,0.0,0.0,28050.0,26558799344.0,213144094088.0,92.0,18.0,0.0,749493747.0,28226.0
4000787030016,2017-06-22,0,ST4000DM000,Z305FPSL,71578808.0,6.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,3685.0,35.0,0.0,0.0,0.0,11767.0,34573321192.0,32068850575.0,94.0,6.0,0.0,518914795.0,11790.0
4000787030016,2017-05-15,0,ST4000DM000,S301LTS4,114427808.0,9.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,5511.0,21.0,0.0,0.0,0.0,13956.0,39995611776.0,19771283638.0,92.0,9.0,0.0,597813960.0,14047.0
4000787030016,2017-04-21,0,ST4000DM000,Z302T6MR,39181912.0,7.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,13199.0,35.0,0.0,0.0,0.0,13763.0,39493484568.0,16194035644.0,93.0,7.0,0.0,560135758.0,13881.0
4000787030016,2017-04-15,0,ST4000DM000,S300XBB1,164688128.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,37199.0,19.0,0.0,0.0,0.0,15113.0,43766983232.0,29560608093.0,99.0,3.0,0.0,647605690.0,15312.0
4000787030016,2017-04-16,0,ST4000DM000,Z300ZRZQ,77216704.0,10.0,1.0,0.0,0.0,0.0,16.0,24.0,1.0,10685.0,24.0,0.0,0.0,0.0,27944.0,28409981430.0,246889652958.0,91.0,10.0,0.0,807828242.0,27988.0
4000787030016,2017-04-30,0,ST4000DM000,Z300XEJ6,96581312.0,24.0,0.0,0.0,0.0,0.0,22.0,25.0,16.0,11759.0,25.0,0.0,0.0,0.0,29526.0,28747457140.0,234825430761.0,91.0,24.0,0.0,939761935.0,29578.0
4000787030016,2017-04-16,0,ST4000DM000,Z304L87W,169251768.0,5.0,2.0,0.0,0.0,0.0,0.0,23.0,0.0,128385.0,23.0,0.0,0.0,0.0,11257.0,23673699152.0,25813126384.0,94.0,6.0,0.0,349713136.0,12016.0
4000787030016,2017-05-20,0,ST4000DM000,Z3029BEZ,99340816.0,14.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,25993.0,25.0,0.0,0.0,0.0,20527.0,22025905378.0,250505308951.0,93.0,14.0,0.0,123040744.0,20695.0
4000787030016,2017-04-21,0,ST4000DM000,Z300P8AM,128694864.0,18.0,0.0,0.0,0.0,0.0,1.0,25.0,10.0,47794.0,25.0,0.0,0.0,0.0,30289.0,29831981700.0,285801860765.0,91.0,18.0,0.0,970216044.0,30522.0
4000787030016,2017-05-20,0,ST4000DM000,S300XPZ1,232047944.0,10.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,25666.0,25.0,0.0,0.0,0.0,21283.0,21982069779.0,142050193517.0,91.0,10.0,0.0,848202753.0,21452.0
4000787030016,2017-06-28,0,ST4000DM000,S300XRBT,182720728.0,11.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,10028.0,23.0,0.0,0.0,0.0,22352.0,22320392141.0,143283936316.0,91.0,11.0,0.0,886815121.0,22399.0
4000787030016,2017-06-01,0,ST4000DM000,Z302372M,239325912.0,7.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,7360.0,20.0,0.0,0.0,0.0,23017.0,22884026897.0,175727769101.0,93.0,7.0,0.0,68063549.0,23068.0
4000787030016,2017-06-12,0,ST4000DM000,Z300PAJX,31613408.0,24.0,0.0,0.0,0.0,0.0,6.0,21.0,7.0,174237.0,21.0,0.0,0.0,0.0,31286.0,28026448124.0,266363803748.0,92.0,24.0,0.0,868436957.0,31917.0
4000787030016,2017-04-06,0,ST4000DM000,W300R8KM,38353528.0,19.0,0.0,0.0,0.0,0.0,4.0,20.0,10.0,39790.0,20.0,0.0,0.0,0.0,24450.0,26198708824.0,205537569014.0,91.0,19.0,0.0,488065809.0,24669.0
4000787030016,2017-04-08,0,ST4000DM000,Z305PDY7,25246512.0,15.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,4446.0,24.0,0.0,0.0,0.0,9284.0,28632310616.0,33728828697.0,91.0,15.0,0.0,412622056.0,9328.0
4000787030016,2017-04-30,0,ST4000DM000,S3010MGN,223316240.0,2.0,1.0,0.0,0.0,0.0,0.0,34.0,0.0,18886.0,34.0,0.0,0.0,3.0,14674.0,42378468800.0,18095479188.0,98.0,2.0,0.0,613601599.0,14764.0
4000787030016,2017-04-29,0,ST4000DM000,S300XM72,90638160.0,2.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,21552.0,34.0,0.0,0.0,0.0,14629.0,40122977424.0,17571077740.0,98.0,2.0,0.0,591268670.0,14741.0
4000787030016,2017-05-09,0,ST4000DM000,Z300ZK19,21025456.0,10.0,1.0,0.0,0.0,0.0,9.0,22.0,1.0,22628.0,22.0,0.0,0.0,0.0,28449.0,27212471800.0,247387771393.0,91.0,10.0,0.0,844819173.0,28538.0
4000787030016,2017-04-23,0,ST4000DM000,Z300P57T,230757096.0,13.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,39707.0,23.0,0.0,0.0,0.0,17624.0,13408025494.0,54720271581.0,91.0,13.0,0.0,725826533.0,17763.0
4000787030016,2017-05-29,0,ST4000DM000,S300Z80Y,174614944.0,5.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,48165.0,26.0,0.0,0.0,0.0,15985.0,42220220464.0,27307689352.0,95.0,5.0,0.0,636499963.0,16325.0
4000787030016,2017-05-14,0,ST4000DM000,S300XB92,133261496.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,127287.0,21.0,0.0,0.0,0.0,15564.0,33993020344.0,31774795156.0,100.0,4.0,0.0,529227757.0,16064.0
4000787030016,2017-05-09,0,ST4000DM000,W3000E7W,169749328.0,22.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,311671.0,27.0,0.0,0.0,0.0,25413.0,27020057721.0,158809537162.0,91.0,22.0,0.0,190313973.0,26665.0
4000787030016,2017-05-10,0,ST4000DM000,Z302T8Y3,154863184.0,5.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,20077.0,22.0,0.0,0.0,0.0,14931.0,42099724864.0,19515041738.0,95.0,5.0,0.0,632812525.0,15050.0
