capacity_bytes,date,failure,model,serial_number,smart_1_raw,smart_12_raw,smart_183_raw,smart_184_raw,smart_187_raw,smart_188_raw,smart_189_raw,smart_190_raw,smart_192_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw,smart_3_normalized,smart_4_raw,smart_5_raw,smart_7_raw,smart_9_raw
4000787030016,2016-05-11,0,ST4000DM000,Z305KBF5,63861360.0,1.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,55291.0,37.0,0.0,0.0,0.0,1532.0,8905497328.0,544604332.0,99.0,1.0,0.0,49966489.0,1878.0
4000787030016,2016-03-24,0,ST4000DM000,Z30251QN,37160552.0,4.0,0.0,0.0,0.0,0.0,687.0,24.0,0.0,4488.0,24.0,0.0,0.0,0.0,12037.0,18507308522.0,137291624134.0,96.0,4.0,0.0,630357757.0,12077.0
4000787030016,2016-12-06,0,ST4000DM000,Z303KECQ,211504328.0,4.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,13.0,25.0,0.0,0.0,0.0,301.0,5077982168.0,179873666.0,96.0,4.0,0.0,3141229.0,301.0
4000787030016,2016-05-04,0,ST4000DM000,S300Z3SM,69710208.0,2.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,36805.0,21.0,0.0,0.0,0.0,8358.0,29327255512.0,13153588912.0,98.0,2.0,0.0,350294949.0,8504.0
4000787030016,2016-10-11,0,ST4000DM000,Z305GX0P,63747408.0,5.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,3866.0,19.0,0.0,0.0,0.0,5001.0,21997735424.0,6241475076.0,95.0,5.0,0.0,241143411.0,5048.0
4000787030016,2016-10-17,0,ST4000DM000,Z30251F2,160145472.0,5.0,0.0,0.0,0.0,0.0,1.0,25.0,0.0,6585.0,25.0,0.0,0.0,0.0,16999.0,20973954338.0,143644861629.0,95.0,5.0,0.0,840035846.0,17045.0
4000787030016,2016-04-27,0,ST4000DM000,Z305LG79,84071208.0,3.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,2428.0,22.0,0.0,0.0,0.0,994.0,9402496744.0,1070801653.0,97.0,3.0,0.0,54584855.0,1038.0
4000787030016,2016-01-20,0,ST4000DM000,Z300NNWS,102662792.0,8.0,0.0,0.0,0.0,0.0,4.0,27.0,5.0,2073.0,27.0,0.0,0.0,0.0,19494.0,24159925218.0,235426492703.0,92.0,8.0,0.0,486253773.0,19572.0
4000787030016,2016-06-07,0,ST4000DM000,Z3025BXG,233593400.0,9.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,4461.0,25.0,0.0,0.0,0.0,12137.0,18716917944.0,168132506475.0,92.0,9.0,0.0,603521065.0,12153.0
4000787030016,2016-06-16,0,ST4000DM000,S3010M1T,82855408.0,11.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,45874.0,32.0,0.0,0.0,0.0,7659.0,30103468480.0,10576038859.0,92.0,11.0,0.0,332041600.0,7996.0
4000787030016,2016-08-04,0,ST4000DM000,Z304HLY6,84272504.0,3.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,10033.0,21.0,0.0,0.0,0.0,6641.0,26842212136.0,4371444947.0,97.0,3.0,0.0,280052087.0,6706.0
4000787030016,2016-12-01,0,ST4000DM000,S30111FL,237979288.0,4.0,1.0,0.0,0.0,0.0,0.0,22.0,0.0,32504.0,22.0,0.0,0.0,0.0,14082.0,40874387992.0,21514606670.0,96.0,4.0,0.0,581338916.0,14242.0
4000787030016,2016-11-07,0,ST4000DM000,Z3059KFB,236334296.0,4.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,8968.0,19.0,0.0,0.0,0.0,7073.0,28212885720.0,6919625595.0,96.0,4.0,0.0,330255008.0,7160.0
4000787030016,2016-06-30,0,ST4000DM000,Z305PVQ0,133640664.0,12.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,51230.0,35.0,0.0,0.0,0.0,2693.0,14603179288.0,1343788441.0,91.0,12.0,0.0,108017024.0,3030.0
4000787030016,2016-10-11,0,ST4000DM000,Z300WCF1,165313744.0,6.0,1.0,0.0,0.0,0.0,25.0,31.0,1.0,3383.0,31.0,0.0,0.0,0.0,25759.0,27949889732.0,246506826394.0,94.0,6.0,0.0,812456482.0,25782.0
4000787030016,2016-11-19,0,ST4000DM000,W300D50C,102134368.0,11.0,0.0,0.0,0.0,0.0,8.0,26.0,4.0,23229.0,26.0,0.0,0.0,0.0,29921.0,28662306586.0,150289567013.0,92.0,11.0,0.0,3390943.0,30065.0
4000787030016,2016-09-10,0,ST4000DM000,S301GMHM,70658208.0,4.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,10446.0,24.0,0.0,0.0,0.0,7546.0,29135616560.0,6181053467.0,96.0,4.0,0.0,324807285.0,7615.0
4000787030016,2016-05-02,1,ST4000DM000,S3002DLG,120771904.0,8.0,0.0,0.0,129.0,0.0,0.0,28.0,0.0,10260.0,28.0,0.0,0.0,0.0,4743.0,9207062191.0,32978627943.0,92.0,8.0,0.0,173689399.0,4787.0
4000787030016,2016-12-19,0,ST4000DM000,Z302SRG5,209223880.0,4.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,19846.0,27.0,0.0,0.0,0.0,11503.0,37038736784.0,9009140588.0,96.0,4.0,0.0,475039130.0,11620.0
4000787030016,2016-10-04,0,ST4000DM000,Z304JLED,16267664.0,4.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,5088.0,20.0,0.0,0.0,0.0,7665.0,28943998120.0,10905068391.0,96.0,4.0,0.0,323211794.0,7713.0
4000787030016,2016-08-14,1,ST4000DM000,Z304E7CZ,9936560.0,4.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,12226.0,23.0,0.0,0.0,0.0,6281.0,26024651016.0,4658580764.0,96.0,4.0,0.0,273403298.0,6446.0
4000787030016,2016-05-06,0,ST4000DM000,S300Z7NP,60734744.0,4.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,35312.0,19.0,0.0,0.0,0.0,8348.0,29070529912.0,28280683348.0,96.0,4.0,0.0,414215238.0,8481.0
4000787030016,2016-01-03,0,ST4000DM000,Z3029A9B,208852624.0,5.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,9423.0,33.0,0.0,0.0,0.0,8590.0,16484211726.0,183336297862.0,95.0,5.0,0.0,669884711.0,8626.0
4000787030016,2016-10-23,0,ST4000DM000,Z305CTNV,206598472.0,5.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,7775.0,22.0,0.0,0.0,0.0,6096.0,23744938736.0,13464338736.0,95.0,5.0,0.0,254913325.0,6174.0
4000787030016,2016-07-29,0,ST4000DM000,Z3055RFM,162898544.0,3.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,8364.0,26.0,0.0,0.0,0.0,4652.0,24493651416.0,4396568703.0,97.0,3.0,0.0,244618647.0,4735.0
4000787030016,2016-05-04,0,ST4000DM000,S300Z3QA,207596776.0,1.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,45432.0,29.0,0.0,0.0,0.0,7728.0,27753968168.0,4137125963.0,99.0,1.0,0.0,299578351.0,8027.0
4000787030016,2016-05-08,1,ST4000DM000,Z300X43D,119544720.0,16.0,1.0,0.0,0.0,0.0,20.0,22.0,12.0,2973.0,22.0,0.0,0.0,0.0,20604.0,25055591873.0,267843882440.0,92.0,16.0,0.0,572702520.0,20621.0
